# gapseq version: 2.1.0 53f3b612
# Transporter sequence DB md5sum: b99a77e (2026-06-08)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	28.372	1.82e-106	357	91	BJKHBEAE_01850 Miniconductance mechanosensitive channel MscM	62	1090	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100	0	1502	100	BJKHBEAE_00595 Moderate conductance mechanosensitive channel YbiO	1	741	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100	0	1502	100	BJKHBEAE_00595 Moderate conductance mechanosensitive channel YbiO	1	741	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100	0	700	100	BJKHBEAE_02869 Low conductance mechanosensitive channel YnaI	1	343	transporter
gnl|TC-DB|Q61835|1.A.27.1.2	1.A.27.1.2	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q61835|1.A.27.1.2	26.471	3	23.5	77	BJKHBEAE_03638 Succinate--CoA ligase [ADP-forming] subunit alpha	93	147	transporter
gnl|TC-DB|O06874|1.A.30.1.2	1.A.30.1.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06874|1.A.30.1.2	27.835	5.85e-15	71.2	90	BJKHBEAE_00099 Motility protein B	26	266	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	21.591	2.2e-05	41.6	92	BJKHBEAE_00098 Motility protein A	19	278	transporter
gnl|TC-DB|P39064|1.A.30.1.4	1.A.30.1.4	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39064|1.A.30.1.4	25	7.97e-10	55.1	93	BJKHBEAE_00099 Motility protein B	12	264	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	20.974	0.000726	37	95	BJKHBEAE_00098 Motility protein A	4	270	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	90.615	0	578	100	BJKHBEAE_00099 Motility protein B	1	308	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	93.559	0	566	100	BJKHBEAE_00098 Motility protein A	1	295	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	100	0	493	100	BJKHBEAE_03501 Biopolymer transport protein ExbB	1	244	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	100	2.7e-102	286	100	BJKHBEAE_03500 Biopolymer transport protein ExbD	1	141	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	33.171	6.59e-27	100	77	BJKHBEAE_03629 Tol-Pal system protein TolQ	2	193	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	29.268	0.000291	35.8	82	BJKHBEAE_03628 Tol-Pal system protein TolR	15	137	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	100	2.08e-171	468	100	BJKHBEAE_03629 Tol-Pal system protein TolQ	1	230	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	100	1.27e-100	281	100	BJKHBEAE_03628 Tol-Pal system protein TolR	1	142	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	34.146	6.19e-28	103	83	BJKHBEAE_03501 Biopolymer transport protein ExbB	8	196	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	29.032	9.79e-12	55.8	87	BJKHBEAE_03500 Biopolymer transport protein ExbD	16	132	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	100	1.66e-87	247	100	BJKHBEAE_03155 Fluoride-specific ion channel FluC	1	127	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.738	1.55e-121	348	100	BJKHBEAE_03398 hypothetical protein	1	304	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	50	4.1	20.4	77	BJKHBEAE_00507 Anaerobic dimethyl sulfoxide reductase chain C	115	137	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	50	4.1	20.4	77	BJKHBEAE_00507 Anaerobic dimethyl sulfoxide reductase chain C	115	137	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	33.333	8.9	19.6	77	BJKHBEAE_04285 hypothetical protein	1	24	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	33.333	8.9	19.6	77	BJKHBEAE_04285 hypothetical protein	1	24	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	37.037	9.6	19.2	87	BJKHBEAE_00226 Inner membrane protein YnjI	63	89	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	37.037	9.6	19.2	87	BJKHBEAE_00226 Inner membrane protein YnjI	63	89	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.166	8.82e-25	93.6	96	BJKHBEAE_01648 hypothetical protein	1	198	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.166	8.82e-25	93.6	96	BJKHBEAE_01648 hypothetical protein	1	198	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	30.556	3.83e-23	89.4	87	BJKHBEAE_02131 hypothetical protein	1	178	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	30.556	3.83e-23	89.4	87	BJKHBEAE_02131 hypothetical protein	1	178	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	35.211	0.072	27.7	93	BJKHBEAE_03924 p-aminobenzoyl-glutamate transport protein	15	74	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100	0	566	100	BJKHBEAE_03223 Glycerol uptake facilitator protein	1	281	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.907	3.45e-13	64.7	75	BJKHBEAE_00528 Aquaporin Z	4	200	transporter
gnl|TC-DB|BBB86745|1.A.8.1.2	1.A.8.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86745|1.A.8.1.2	35.102	1.62e-37	130	90	BJKHBEAE_03223 Glycerol uptake facilitator protein	7	246	transporter
gnl|TC-DB|BBB86745|1.A.8.1.2	1.A.8.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86745|1.A.8.1.2	28.372	1.01e-05	42.4	79	BJKHBEAE_00528 Aquaporin Z	4	200	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P26587|1.A.8.10.1	32.579	1.63e-16	73.6	76	BJKHBEAE_00528 Aquaporin Z	3	209	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P26587|1.A.8.10.1	32.579	1.63e-16	73.6	76	BJKHBEAE_00528 Aquaporin Z	3	209	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.243	2.42e-15	70.1	80	BJKHBEAE_00528 Aquaporin Z	3	209	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.243	2.42e-15	70.1	80	BJKHBEAE_00528 Aquaporin Z	3	209	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.753	4.63e-12	61.2	83	BJKHBEAE_03223 Glycerol uptake facilitator protein	2	219	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.753	4.63e-12	61.2	83	BJKHBEAE_03223 Glycerol uptake facilitator protein	2	219	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P25818|1.A.8.10.3	33.333	1.9e-10	56.2	78	BJKHBEAE_00528 Aquaporin Z	7	209	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	33.333	1.9e-10	56.2	78	BJKHBEAE_00528 Aquaporin Z	7	209	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P25818|1.A.8.10.3	26.389	2.92e-07	47.4	77	BJKHBEAE_03223 Glycerol uptake facilitator protein	11	221	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	26.389	2.92e-07	47.4	77	BJKHBEAE_03223 Glycerol uptake facilitator protein	11	221	transporter
gnl|TC-DB|Q9FGL2|1.A.8.10.4	1.A.8.10.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9FGL2|1.A.8.10.4	31.628	5.11e-16	72	80	BJKHBEAE_00528 Aquaporin Z	2	209	transporter
gnl|TC-DB|Q9FGL2|1.A.8.10.4	1.A.8.10.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9FGL2|1.A.8.10.4	27.907	7.66e-11	57.8	77	BJKHBEAE_03223 Glycerol uptake facilitator protein	3	212	transporter
gnl|TC-DB|BBB86746|1.A.8.11.8	1.A.8.11.8	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86746|1.A.8.11.8	23.368	1.59e-11	60.5	94	BJKHBEAE_03223 Glycerol uptake facilitator protein	2	280	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P08995|1.A.8.12.1	32.129	5.37e-19	81.3	76	BJKHBEAE_03223 Glycerol uptake facilitator protein	10	252	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	32.129	5.37e-19	81.3	76	BJKHBEAE_03223 Glycerol uptake facilitator protein	10	252	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.268	3.6e-17	76.6	75	BJKHBEAE_03223 Glycerol uptake facilitator protein	10	254	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	32.721	5.07e-26	99.8	99	BJKHBEAE_03223 Glycerol uptake facilitator protein	3	254	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.321	1.85e-25	97.4	80	BJKHBEAE_00528 Aquaporin Z	3	190	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.835	2.1e-32	116	98	BJKHBEAE_03223 Glycerol uptake facilitator protein	6	254	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	37.333	4.18e-25	96.3	88	BJKHBEAE_00528 Aquaporin Z	3	209	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	39.614	1.15e-32	115	89	BJKHBEAE_00528 Aquaporin Z	3	208	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	30.894	7.51e-22	87.8	97	BJKHBEAE_03223 Glycerol uptake facilitator protein	10	254	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	37.066	1.31e-31	115	88	BJKHBEAE_03223 Glycerol uptake facilitator protein	14	267	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	29.297	6.57e-19	81.3	93	BJKHBEAE_03223 Glycerol uptake facilitator protein	13	252	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	27.126	1.32e-10	57.8	84	BJKHBEAE_03223 Glycerol uptake facilitator protein	1	212	transporter
