# gapseq version: 2.1.0 53f3b612
# Sequence DB version: 1.5 (Bacteria, 2026-05-29)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=33.25;gram=neg
pathway	rxn	name	ec	keyrea	is_complex	subunit_count	subunits	complex	file	dbhit	spont	type	src	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	exception	status	subunits_found	subunit_undefined_found	complex.status	pathway.status
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	23.574	4.04e-10	55.8	94	BJKHBEAE_02773 5-keto-D-gluconate 5-reductase	5	252	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	28.409	4.89e-09	52.8	91	BJKHBEAE_00755 Sorbitol-6-phosphate 2-dehydrogenase	3	255	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	26.23	1.78e-08	50.8	87	BJKHBEAE_03184 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1	227	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	28.148	2.71e-08	50.4	91	BJKHBEAE_02364 putative oxidoreductase YgfF	3	246	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase	1.13.11.M6	FALSE	FALSE		NA		rxn/CHLOROCATDIOXY-RXN.fasta	rxn03709	FALSE	metacyc	rxn									0	no_blast				
14DICHLORBENZDEG-PWY	CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/CHLOROMALERED-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn06904 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|Q471H8|Q471H8_CUPPJ	28.989	1.38e-34	127	94	BJKHBEAE_00851 Lactaldehyde reductase	13	382	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rev/1.3.1.32.fasta	rxn02141 rxn02142 rxn03656 rxn06904 rxn16086 rxn20159	FALSE	EC	rev	UniRef90_P94135	30.513	6.52e-33	123	95	BJKHBEAE_02963 Alcohol dehydrogenase 2	7	383	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rev/1.3.1.32.fasta	rxn02141 rxn02142 rxn03656 rxn06904 rxn16086 rxn20159	FALSE	EC	rev	UniRef90_O84992	29.043	2.97e-24	99.8	76	BJKHBEAE_01254 putative alcohol dehydrogenase EutG	92	394	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/CHLOROMALERED-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn06904 rxn16086 rxn20159	FALSE	metacyc	rxn	sp|Q5W9E3|LINF_SPHIU	25.161	4.26e-16	76.6	77	BJKHBEAE_01515 Bifunctional aldehyde-alcohol dehydrogenase AdhE	450	757	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rev/1.3.1.32.fasta	rxn02141 rxn02142 rxn03656 rxn06904 rxn16086 rxn20159	FALSE	EC	rev	UniRef90_P27137	21.33	6.83e-09	53.5	89	BJKHBEAE_03505 NADPH-dependent aldehyde reductase YqhD	1	354	0	bad_blast				
14DICHLORBENZDEG-PWY	DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	FALSE	FALSE		NA		rev/3.1.1.45.fasta	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716	FALSE	EC	rev	UniRef90_Q8X8L4	99.262	0	556	100	BJKHBEAE_03105 Carboxymethylenebutenolidase	1	271	0	good_blast				
14DICHLORBENZDEG-PWY	DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	TRUE	TRUE	2	Subunit 1,Subunit 2,Subunit undefined	Subunit 1	rev/1.14.12.26.fasta	rxn03729 rxn04646 rxn04671 rxn25893 rxn25906	FALSE	EC	rev	UniRef90_O24676	48.97	8.13e-138	400	94	BJKHBEAE_01166 3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	12	437	0	good_blast	1	FALSE		
14DICHLORBENZDEG-PWY	DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	TRUE	TRUE	2	Subunit 1,Subunit 2,Subunit undefined	Subunit 2	rev/1.14.12.26.fasta	rxn03729 rxn04646 rxn04671 rxn25893 rxn25906	FALSE	EC	rev	UniRef90_O24677	32.558	5.59e-28	100	92	BJKHBEAE_01165 3-phenylpropionate/cinnamic acid dioxygenase subunit beta	3	172	0	bad_blast	1	FALSE		
14DICHLORBENZDEG-PWY	DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	TRUE	TRUE	2	Subunit 1,Subunit 2,Subunit undefined	Subunit undefined	rxn/DIOXYXANFL-RXN.fasta	rxn03729 rxn04646 rxn04671 rxn25893 rxn25906	FALSE	metacyc	rxn	sp|O24679|TECA4_CUPXP	30.25	3.28e-41	147	97	BJKHBEAE_01162 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component	6	400	0	bad_blast	1	FALSE		
14DICHLORBENZDEG-PWY	DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	TRUE	TRUE	2	Subunit 1,Subunit 2,Subunit undefined	Subunit undefined	rxn/DIOXYXANFL-RXN.fasta	rxn03729 rxn04646 rxn04671 rxn25893 rxn25906	FALSE	metacyc	rxn	sp|O24678|TECA3_CUPXP	45.098	1.77e-28	96.7	94	BJKHBEAE_01164 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	1	101	0	bad_blast	1	FALSE		
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	43.388	3.61e-139	407	98	BJKHBEAE_02900 NADP/NAD-dependent aldehyde dehydrogenase PuuC	18	495	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	43.478	2.61e-126	374	97	BJKHBEAE_04001 Phenylacetaldehyde dehydrogenase	19	497	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	40.456	2.36e-123	367	98	BJKHBEAE_02964 Aldehyde dehydrogenase B	28	507	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	38.683	2.36e-122	363	99	BJKHBEAE_03328 Betaine aldehyde dehydrogenase	6	490	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	40.292	2.65e-112	337	98	BJKHBEAE_03969 Gamma-aminobutyraldehyde dehydrogenase	1	473	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	35.343	1.24e-97	300	98	BJKHBEAE_00715 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	9	482	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	35.908	2.6e-93	288	98	BJKHBEAE_04169 Lactaldehyde dehydrogenase	5	478	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	29.605	1.94e-63	210	93	BJKHBEAE_03393 Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	12	458	0	good_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	31.423	1.4e-51	179	95	BJKHBEAE_00242 N-succinylglutamate 5-semialdehyde dehydrogenase	3	461	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|C1I208|C1I208_PSEWB	29.258	1.93e-41	155	91	BJKHBEAE_03611 Bifunctional protein PutA	657	1101	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|Q471H8|Q471H8_CUPPJ	28.989	1.38e-34	127	94	BJKHBEAE_00851 Lactaldehyde reductase	13	382	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rev/1.3.1.32.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	EC	rev	UniRef90_P94135	30.513	6.52e-33	123	95	BJKHBEAE_02963 Alcohol dehydrogenase 2	7	383	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rev/1.3.1.32.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	EC	rev	UniRef90_O84992	29.043	2.97e-24	99.8	76	BJKHBEAE_01254 putative alcohol dehydrogenase EutG	92	394	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	sp|Q5W9E3|LINF_SPHIU	25.161	4.26e-16	76.6	77	BJKHBEAE_01515 Bifunctional aldehyde-alcohol dehydrogenase AdhE	450	757	0	bad_blast				
14DICHLORBENZDEG-PWY	MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	FALSE	FALSE		NA		rxn/MALEYLACETATE-REDUCTASE-RXN.fasta	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159	FALSE	metacyc	rxn	tr|Q0SFL7|Q0SFL7_RHOJR	24.348	1.68e-10	58.5	85	BJKHBEAE_03505 NADPH-dependent aldehyde reductase YqhD	8	348	0	bad_blast				
14DICHLORBENZDEG-PWY	RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	FALSE	FALSE		NA		rxn/RXN-18360.fasta	rxn03018 rxn03694	FALSE	metacyc	rxn	sp|P27099|TCBD_PSESQ	24.682	4.09e-12	63.9	100	BJKHBEAE_02082 D-galactonate dehydratase	1	364	0	bad_blast				
14DICHLORBENZDEG-PWY	RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	FALSE	FALSE		NA		rxn/RXN-18360.fasta	rxn03018 rxn03694	FALSE	metacyc	rxn	sp|P27099|TCBD_PSESQ	20.528	3.77e-11	60.8	80	BJKHBEAE_00412 Starvation-sensing protein RspA	9	337	0	bad_blast				
14DICHLORBENZDEG-PWY	RXN-18361	RXN-18361		FALSE	FALSE						TRUE											0	spontaneous				
14DICHLORBENZDEG-PWY	RXN-18362	RXN-18362		FALSE	FALSE						TRUE											0	spontaneous				
1CMET2-PWY	5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	FALSE	FALSE		NA		rev/6.3.3.2.fasta	rxn01653	FALSE	EC	rev	UniRef90_P0AC28	100	6.64e-137	377	100	BJKHBEAE_02373 5-formyltetrahydrofolate cyclo-ligase	19	200	0	good_blast				full
1CMET2-PWY	DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3	FALSE	FALSE		NA		rxn/DIHYDROFOLATEREDUCT-RXN.fasta	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434	FALSE	metacyc	rxn	sp|P0AFS3|FOLM_ECOLI	100	0	499	100	BJKHBEAE_00387 Dihydromonapterin reductase	1	240	0	good_blast				full
1CMET2-PWY	DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3	FALSE	FALSE		NA		user/1.5.1.3.fasta	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434	FALSE	EC	user	UniRef50_A0A3P6JD90	39.247	2.18e-117	355	99	BJKHBEAE_00371 PTS system maltose-specific EIICB component	11	521	0	good_blast				full
