locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJKHBEAE_00063	CDS	414				hypothetical protein
BJKHBEAE_00064	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
BJKHBEAE_00065	CDS	366	fliT			Flagellar protein FliT
BJKHBEAE_00066	CDS	411	fliS			Flagellar secretion chaperone FliS
BJKHBEAE_00067	CDS	1407	fliD		COG1345	Flagellar hook-associated protein 2
BJKHBEAE_00068	CDS	1497	fliC		COG1344	Flagellin
BJKHBEAE_00069	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
BJKHBEAE_00070	CDS	552	fliZ			Regulator of sigma S factor FliZ
BJKHBEAE_00071	CDS	858	tcyJ		COG0834	L-cystine-binding protein TcyJ
BJKHBEAE_00072	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
BJKHBEAE_00073	CDS	669	tcyL		COG0765	L-cystine transport system permease protein TcyL
BJKHBEAE_00074	CDS	753	tcyN	7.4.2.12	COG1126	L-cystine transport system ATP-binding protein TcyN
BJKHBEAE_00075	CDS	723	sdiA		COG2197	Regulatory protein SdiA
BJKHBEAE_00076	CDS	225				hypothetical protein
BJKHBEAE_00077	CDS	657	uvrY		COG2197	Response regulator UvrY
BJKHBEAE_00078	CDS	1833	uvrC		COG0322	UvrABC system protein C
BJKHBEAE_00079	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
BJKHBEAE_00080	tRNA	76				tRNA-Gly(gcc)
BJKHBEAE_00081	tRNA	74				tRNA-Cys(gca)
BJKHBEAE_00082	tRNA	87				tRNA-Leu(taa)
BJKHBEAE_00083	CDS	666				hypothetical protein
BJKHBEAE_00084	CDS	1212	tyrP		COG0814	Tyrosine-specific transport system
BJKHBEAE_00085	CDS	240				hypothetical protein
BJKHBEAE_00086	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
BJKHBEAE_00087	CDS	324				hypothetical protein
BJKHBEAE_00088	CDS	252				hypothetical protein
BJKHBEAE_00089	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
BJKHBEAE_00090	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
BJKHBEAE_00091	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
BJKHBEAE_00092	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
BJKHBEAE_00093	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
BJKHBEAE_00094	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
BJKHBEAE_00095	CDS	429	uspC		COG0589	Universal stress protein C
BJKHBEAE_00096	CDS	351	flhD			Flagellar transcriptional regulator FlhD
BJKHBEAE_00097	CDS	579	flhC			Flagellar transcriptional regulator FlhC
BJKHBEAE_00098	CDS	888	motA		COG1291	Motility protein A
BJKHBEAE_00099	CDS	927	motB		COG1360	Motility protein B
BJKHBEAE_00100	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
BJKHBEAE_00101	CDS	504	cheW		COG0835	Chemotaxis protein CheW
BJKHBEAE_00102	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
BJKHBEAE_00103	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
BJKHBEAE_00104	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
BJKHBEAE_00105	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
BJKHBEAE_00106	CDS	390	cheY		COG0745	Chemotaxis protein CheY
BJKHBEAE_00107	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
BJKHBEAE_00108	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
BJKHBEAE_00109	CDS	2079	flhA_1			Flagellar biosynthesis protein FlhA
BJKHBEAE_00110	CDS	393	flhE			Flagellar protein FlhE
BJKHBEAE_00111	CDS	489				hypothetical protein
BJKHBEAE_00112	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
BJKHBEAE_00113	CDS	567	yecM		COG3102	Protein YecM
BJKHBEAE_00114	CDS	747	cutC			PF03932 family protein CutC
BJKHBEAE_00115	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
BJKHBEAE_00116	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
BJKHBEAE_00117	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
BJKHBEAE_00118	CDS	744	cmoA	2.1.3.-	COG2226	Carboxy-S-adenosyl-L-methionine synthase
BJKHBEAE_00119	CDS	396	yecN		COG3788	Inner membrane protein YecN
BJKHBEAE_00120	CDS	819				hypothetical protein
BJKHBEAE_00121	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
BJKHBEAE_00122	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
BJKHBEAE_00123	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
BJKHBEAE_00124	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
BJKHBEAE_00125	CDS	522	ruvC	3.1.21.10	COG0817	Crossover junction endodeoxyribonuclease RuvC
BJKHBEAE_00126	CDS	603				hypothetical protein
BJKHBEAE_00127	CDS	612	ruvA		COG0632	Holliday junction branch migration complex subunit RuvA
BJKHBEAE_00128	CDS	1011	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
BJKHBEAE_00129	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
BJKHBEAE_00130	CDS	756	znuC	7.2.2.20	COG1121	Zinc import ATP-binding protein ZnuC
BJKHBEAE_00131	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
BJKHBEAE_00132	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
BJKHBEAE_00133	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
BJKHBEAE_00134	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
BJKHBEAE_00135	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
BJKHBEAE_00136	CDS	150				hypothetical protein
BJKHBEAE_00137	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
BJKHBEAE_00138	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
BJKHBEAE_00139	CDS	642	eda	4.1.3.42	COG0800	KHG/KDPG aldolase
BJKHBEAE_00140	CDS	1179	purT	6.3.1.21	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
BJKHBEAE_00141	CDS	291				hypothetical protein
BJKHBEAE_00142	CDS	357	yebF			Protein YebF
BJKHBEAE_00143	CDS	111				hypothetical protein
BJKHBEAE_00144	CDS	660	yebE		COG2979	Inner membrane protein YebE
BJKHBEAE_00145	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
BJKHBEAE_00146	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
BJKHBEAE_00147	CDS	657				hypothetical protein
BJKHBEAE_00148	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
BJKHBEAE_00149	CDS	375	yobA		COG2372	Protein YobA
BJKHBEAE_00150	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
BJKHBEAE_00151	CDS	342	yebY			putative protein YebY
BJKHBEAE_00152	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
BJKHBEAE_00153	CDS	276				hypothetical protein
BJKHBEAE_00154	CDS	237	yebV			putative protein YebV
BJKHBEAE_00155	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
BJKHBEAE_00156	CDS	2634	letB		COG3008	Lipophilic envelope-spanning tunnel protein B
BJKHBEAE_00157	CDS	1284	letA		COG2995	Lipophilic envelope-spanning tunnel protein A
BJKHBEAE_00158	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
BJKHBEAE_00159	CDS	699	proQ		COG3109	RNA chaperone ProQ
BJKHBEAE_00160	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
BJKHBEAE_00161	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
BJKHBEAE_00162	CDS	1374	ribZ		COG2814	Riboflavin transporter RibZ
BJKHBEAE_00163	CDS	792	kdgR_1		COG1414	HTH-type transcriptional regulator KdgR
BJKHBEAE_00164	CDS	240				hypothetical protein
BJKHBEAE_00165	CDS	288				hypothetical protein
BJKHBEAE_00166	CDS	210	cspC		COG1278	Cold shock-like protein CspC
BJKHBEAE_00167	CDS	810	rlmA	2.1.1.187	COG2226	23S rRNA (guanine(745)-N(1))-methyltransferase
BJKHBEAE_00168	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
BJKHBEAE_00169	CDS	459				hypothetical protein
BJKHBEAE_00170	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
BJKHBEAE_00171	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
BJKHBEAE_00172	CDS	972	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
BJKHBEAE_00173	CDS	1557				hypothetical protein
BJKHBEAE_00174	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
BJKHBEAE_00175	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
BJKHBEAE_00176	CDS	579		3.6.1.77	COG0494	Nudix hydrolase
BJKHBEAE_00177	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
BJKHBEAE_00178	CDS	180				hypothetical protein
BJKHBEAE_00179	CDS	300				hypothetical protein
BJKHBEAE_00180	CDS	348	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BJKHBEAE_00181	CDS	1911	yoaA	5.6.2.3	COG1199	ATP-dependent DNA helicase YoaA
BJKHBEAE_00182	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
BJKHBEAE_00183	CDS	582	slp_1		COG3065	Outer membrane protein Slp
BJKHBEAE_00184	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BJKHBEAE_00185	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
BJKHBEAE_00186	CDS	966	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
BJKHBEAE_00187	CDS	1125	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
BJKHBEAE_00188	CDS	1431	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
BJKHBEAE_00189	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
BJKHBEAE_00190	CDS	924	dmlR_1		COG0583	HTH-type transcriptional regulator DmlR
BJKHBEAE_00191	CDS	639	leuE		COG1280	Leucine efflux protein
BJKHBEAE_00192	CDS	360	yeaR		COG3615	putative protein YeaR
BJKHBEAE_00193	CDS	183	yoaG			Protein YoaG
BJKHBEAE_00194	CDS	249				hypothetical protein
BJKHBEAE_00195	CDS	1026	dgcP	2.7.7.65	COG2199	Diguanylate cyclase DgcP
BJKHBEAE_00196	CDS	255				hypothetical protein
BJKHBEAE_00197	CDS	348				hypothetical protein
BJKHBEAE_00198	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
BJKHBEAE_00199	CDS	819	nimR		COG2207	HTH-type transcriptional regulator NimR
BJKHBEAE_00200	CDS	447				hypothetical protein
BJKHBEAE_00201	CDS	504	proXp-y	3.1.1.-	COG2606	Multifunctional Ser/Thr-tRNA deacylase ProXp-y
BJKHBEAE_00202	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
BJKHBEAE_00203	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
BJKHBEAE_00204	CDS	1284				hypothetical protein
BJKHBEAE_00205	CDS	1935	yeaG	2.7.11.1	COG2766	Serine/threonine kinase YeaG
BJKHBEAE_00206	CDS	747	mipA_1		COG3713	MltA-interacting protein
BJKHBEAE_00207	CDS	855	yeaE	1.1.1.-	COG0656	Methylglyoxal reductase YeaE
BJKHBEAE_00208	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
BJKHBEAE_00209	CDS	996	gapA_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
BJKHBEAE_00210	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
BJKHBEAE_00211	CDS	273				hypothetical protein
BJKHBEAE_00212	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
BJKHBEAE_00213	CDS	1380	ydjE_1		COG2814	Inner membrane metabolite transport protein YdjE
BJKHBEAE_00214	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
BJKHBEAE_00215	CDS	837	ydjI		COG0191	putative protein YdjI
BJKHBEAE_00216	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
BJKHBEAE_00217	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
BJKHBEAE_00218	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
BJKHBEAE_00219	CDS	1359	ydjE_2		COG2814	Inner membrane metabolite transport protein YdjE
BJKHBEAE_00220	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
BJKHBEAE_00221	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
BJKHBEAE_00222	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
BJKHBEAE_00223	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
BJKHBEAE_00224	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
BJKHBEAE_00225	CDS	1962	topB	5.6.2.1	COG0550	DNA topoisomerase 3
BJKHBEAE_00226	CDS	1041	ynjI			Inner membrane protein YnjI
BJKHBEAE_00227	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
BJKHBEAE_00228	CDS	273				hypothetical protein
BJKHBEAE_00229	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
BJKHBEAE_00230	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
BJKHBEAE_00231	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
BJKHBEAE_00232	CDS	654	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
BJKHBEAE_00233	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
BJKHBEAE_00234	CDS	1167	ynjB		COG4134	Protein YnjB
BJKHBEAE_00235	CDS	549				hypothetical protein
BJKHBEAE_00236	CDS	708	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
BJKHBEAE_00237	CDS	678				hypothetical protein
BJKHBEAE_00238	CDS	711	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
BJKHBEAE_00239	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
BJKHBEAE_00240	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
BJKHBEAE_00241	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
BJKHBEAE_00242	CDS	1479	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
BJKHBEAE_00243	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
BJKHBEAE_00244	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
BJKHBEAE_00245	CDS	486	spy		COG3678	Periplasmic chaperone Spy
BJKHBEAE_00246	CDS	576	ves		COG3758	Protein Ves
BJKHBEAE_00247	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
BJKHBEAE_00248	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
BJKHBEAE_00249	CDS	339	osmE		COG2913	Osmotically-inducible putative lipoprotein OsmE
BJKHBEAE_00250	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
BJKHBEAE_00251	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
BJKHBEAE_00252	CDS	351	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
BJKHBEAE_00253	CDS	840	chbR		COG1917	HTH-type transcriptional regulator ChbR
BJKHBEAE_00254	CDS	1353	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
BJKHBEAE_00255	CDS	750	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
BJKHBEAE_00256	CDS	2262	katE	1.11.1.6	COG0753	Catalase HPII
BJKHBEAE_00257	CDS	264	cedA			Cell division activator CedA
BJKHBEAE_00258	CDS	804				hypothetical protein
BJKHBEAE_00259	CDS	1392	tcyP		COG1823	L-cystine transporter TcyP
BJKHBEAE_00260	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
BJKHBEAE_00261	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
BJKHBEAE_00262	CDS	537				hypothetical protein
BJKHBEAE_00263	CDS	861		2.7.1.-	COG3001	putative ketoamine kinase
BJKHBEAE_00264	CDS	291				hypothetical protein
BJKHBEAE_00265	CDS	930	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
BJKHBEAE_00266	CDS	759				hypothetical protein
BJKHBEAE_00267	CDS	108	yniD			putative protein YniD
BJKHBEAE_00268	CDS	1167	ospD3	3.4.-.-		Effector protease OspD3
BJKHBEAE_00269	CDS	474				hypothetical protein
BJKHBEAE_00270	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
BJKHBEAE_00271	CDS	435	infC		COG0290	Translation initiation factor IF-3
BJKHBEAE_00272	CDS	198	rpmI		COG0291	Large ribosomal subunit protein bL35
BJKHBEAE_00273	CDS	357	rplT		COG0292	Large ribosomal subunit protein bL20
BJKHBEAE_00274	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
BJKHBEAE_00275	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
BJKHBEAE_00276	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
BJKHBEAE_00277	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
BJKHBEAE_00278	CDS	552	btuE	1.11.1.24	COG0386	Thioredoxin/glutathione peroxidase BtuE
BJKHBEAE_00279	CDS	750	btuD_1	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
BJKHBEAE_00280	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
BJKHBEAE_00281	CDS	714	ydiV		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
BJKHBEAE_00282	CDS	1437	selO	2.7.7.-	COG0397	Protein nucleotidyltransferase SelO
BJKHBEAE_00283	CDS	192	ydiE		COG4256	putative protein YdiE
BJKHBEAE_00284	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
BJKHBEAE_00285	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
BJKHBEAE_00286	CDS	2379	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
BJKHBEAE_00287	CDS	1647	fadK	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
BJKHBEAE_00288	CDS	294	fixX_1		COG2440	Ferredoxin-like protein FixX
BJKHBEAE_00289	CDS	1290	dadA_1	1.4.99.-		D-amino acid dehydrogenase
BJKHBEAE_00290	CDS	939	fixB_1		COG2025	Protein FixB
BJKHBEAE_00291	CDS	765	fixA_1		COG2086	Protein FixA
BJKHBEAE_00292	CDS	177				hypothetical protein
BJKHBEAE_00293	CDS	912	rhaS_1			HTH-type transcriptional activator RhaS
BJKHBEAE_00294	CDS	1152	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
BJKHBEAE_00295	CDS	1596	ydiF	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
BJKHBEAE_00296	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
BJKHBEAE_00297	CDS	867	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
BJKHBEAE_00298	CDS	1266	ydiN		COG2271	Inner membrane transport protein YdiN
BJKHBEAE_00299	CDS	1215	ydiM		COG0738	Inner membrane transport protein YdiM
BJKHBEAE_00300	CDS	357				hypothetical protein
BJKHBEAE_00301	CDS	1113	ydiK		COG0628	Putative transport protein YdiK
BJKHBEAE_00302	CDS	3057	ydiJ	1.1.99.39	COG0247	D-2-hydroxyglutarate dehydrogenase
BJKHBEAE_00303	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
BJKHBEAE_00304	CDS	189				hypothetical protein
BJKHBEAE_00305	CDS	369	sufA		COG0316	Iron-sulfur cluster assembly protein SufA
BJKHBEAE_00306	CDS	1488	sufB		COG0719	Iron-sulfur cluster assembly protein SufB
BJKHBEAE_00307	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
BJKHBEAE_00308	CDS	1272	sufD		COG0719	Iron-sulfur cluster assembly protein SufD
BJKHBEAE_00309	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
BJKHBEAE_00310	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
BJKHBEAE_00311	CDS	1005	ynhG	2.-.-.-	COG1376	putative L,D-transpeptidase YnhG
BJKHBEAE_00312	CDS	237	lpp		COG4238	Major outer membrane lipoprotein Lpp
BJKHBEAE_00313	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
BJKHBEAE_00314	CDS	210	fumD	4.2.1.2		Fumarase D
BJKHBEAE_00315	CDS	627	ydhY		COG0437	putative ferredoxin-like protein YdhY
BJKHBEAE_00316	CDS	2103	ydhV	1.-.-.-	COG2414	putative oxidoreductase YdhV
BJKHBEAE_00317	CDS	639	ydhW			putative protein YdhW
